CHD;84,39;1,18;25,73;6,14;2,81;44,11;21,26;15,96;19,32;20,98;1,68;0,53;4,11;-83,76;-3,32;0,82;23,85;10,93;16,18;0,46;0,54;0,68;7,60;13,88;;13,75;3,28;;20.706.658.056,00
CHMG;47,33;2,30;9,09;1,08;0,09;0,00;34,02;26,62;7,12;-17,08;-24,31;-3,70;2,42;;-0,09;;11,90;1,02;11,97;0,09;0,91;0,04;3,34;15,35;;43,75;5,21;;224.028.320,00
CHNGU;73,96;4,06;-402,50;7,04;2,29;58,07;4,74;-1,75;148,65;74,52;30,06;1,42;7,04;188,36;-2,58;1,12;-1,75;-0,57;1,55;0,33;0,67;0,33;;;;10,50;-0,18;;6.876.263.016,00
CHRW;90,09;2,83;18,22;6,23;2,01;14,03;4,49;3,41;13,81;15,19;1,39;0,63;0,62;10,44;-5,43;1,44;34,17;11,03;21,25;0,32;0,68;3,24;3,76;-0,13;;14,47;4,95;;11.855.370.117,00
CHT;40,28;2,99;25,44;2,21;1,73;33,94;20,50;16,21;20,11;19,60;-0,50;-0,05;4,12;35,33;-2,10;1,39;8,68;6,81;8,45;0,78;0,22;0,42;3,04;-1,74;;18,24;1,58;;31.231.481.622,00
CIB;32,96;3,32;275,57;3,62;0,41;74,29;0,00;1,82;;;;0,01;5,00;34,87;-1,83;1,02;1,31;0,15;;0,11;0,89;0,08;1,32;-38,04;;9,11;0,12;;31.682.581.380,00
CIG;2,58;3,99;7,54;1,49;0,50;23,27;15,59;13,38;6,47;8,18;1,73;0,40;1,01;4,74;-0,69;1,62;19,71;6,66;10,70;0,34;0,66;0,50;-5,66;-6,04;;1,74;0,34;;4.850.637.976,61
CINF;121,08;2,03;7,96;1,65;0,66;19,31;38,92;28,28;5,78;5,75;-0,03;-0,01;2,25;;-0,66;;20,69;8,27;21,54;0,40;0,60;0,29;10,32;17,62;;73,57;15,22;;19.516.025.532,00
CIT;55,02;2,54;8,99;0,90;0,10;19,64;29,59;19,71;5,98;-5,77;-11,77;-1,78;1,77;;-0,10;;10,06;1,11;11,37;0,11;0,89;0,06;3,81;;;60,88;6,12;;5.469.785.514,00
CIVB;23,11;2,12;9,26;0,99;0,12;0,00;34,88;28,16;7,48;-4,97;-12,43;-1,65;2,61;;-0,12;;10,72;1,29;8,69;0,12;0,88;0,05;14,53;23,58;;23,28;2,50;;348.947.035,00
CIXX;19,80;2,85;22,59;3,17;0,83;100,00;75,83;19,03;5,67;6,66;0,98;0,55;4,30;-103,27;-1,12;0,97;14,04;3,66;22,15;0,26;0,74;0,19;;;;6,24;0,88;;3.992.314.410,00
CIZN;17,99;5,34;12,41;0,92;0,08;0,00;20,78;15,77;9,42;-41,06;-50,48;-4,92;1,96;;-0,08;;7,40;0,61;4,51;0,08;0,92;0,04;5,36;-1,80;;19,58;1,45;;100.659.447,00
CL;77,91;2,28;24,08;141,63;4,11;60,75;22,08;15,98;17,43;19,27;1,86;15,15;3,85;146,37;-5,79;1,11;588,15;17,06;34,47;0,03;0,97;1,07;0,54;14,26;;0,55;3,24;;65.650.655.705,00
